open,high,low,close,volume,marketCap,timestamp
0.33603034,0.36309666,0.30296886,0.31293611,82787321.73,796424364.45,2021-06-05T23:59:59.999Z
0.31284043,0.34818116,0.31132816,0.34183639,53983701.47,869975768.64,2021-06-06T23:59:59.999Z
0.34147052,0.35692702,0.29587019,0.29756449,66009543.64,757303500.99,2021-06-07T23:59:59.999Z
0.29815946,0.3061953,0.25888578,0.29375404,97621393.94,747605873.86,2021-06-08T23:59:59.999Z
0.29258324,0.31530729,0.27329873,0.30640409,75598022.89,779800325.86,2021-06-09T23:59:59.999Z
0.30661242,0.30809604,0.27087119,0.27886099,55091074.76,709702969.96,2021-06-10T23:59:59.999Z
0.27978937,0.28379905,0.24861015,0.25282382,42763474.13,643438211.36,2021-06-11T23:59:59.999Z
0.25300385,0.25300385,0.23235615,0.23906159,47058729.31,608413242.73,2021-06-12T23:59:59.999Z
0.23928645,0.28259401,0.23264536,0.28131388,55999299.52,715945597.87,2021-06-13T23:59:59.999Z
0.27985637,0.30836831,0.26958249,0.28131847,53693814.35,715957263.92,2021-06-14T23:59:59.999Z
0.297905,0.30729254,0.2810796,0.29096459,77415580.05,740506712.55,2021-06-15T23:59:59.999Z
0.28891578,0.29110878,0.26734517,0.28025397,51450656.91,713248108.17,2021-06-16T23:59:59.999Z
0.28040431,0.32047363,0.2791877,0.32035457,102019331.78,815304380.19,2021-06-17T23:59:59.999Z
0.32132223,0.34594828,0.28560833,0.29495999,109448381.49,750675036.96,2021-06-18T23:59:59.999Z
0.29541389,0.32892571,0.2836075,0.30999614,75674373.16,788942125.25,2021-06-19T23:59:59.999Z
0.30896707,0.3202732,0.28230431,0.30996317,72196511.15,788858216.11,2021-06-20T23:59:59.999Z
0.30877154,0.31167555,0.23423509,0.23506884,85686625.88,598251666.92,2021-06-21T23:59:59.999Z
0.23520629,0.2540582,0.18649447,0.21707125,102224385.81,552447688.75,2021-06-22T23:59:59.999Z
0.21711451,0.26477344,0.20742773,0.24696326,75947745.34,628523045.87,2021-06-23T23:59:59.999Z
0.24654707,0.25768781,0.23330524,0.24185124,44023291.45,615512933.9,2021-06-24T23:59:59.999Z
0.24236367,0.24752487,0.20443777,0.20635215,51545611.48,525167506.79,2021-06-25T23:59:59.999Z
0.20599092,0.21623907,0.19404394,0.21294415,46094560.14,541944187.42,2021-06-26T23:59:59.999Z
0.21277335,0.21741803,0.20078346,0.21741803,38008846.77,553330261.74,2021-06-27T23:59:59.999Z
0.21726133,0.23248584,0.21524879,0.22503214,42180703.72,572708198.82,2021-06-28T23:59:59.999Z
0.22531367,0.25004067,0.2248551,0.23403319,44294092.73,595615945.92,2021-06-29T23:59:59.999Z
0.23572916,0.24158615,0.21347363,0.24076411,50337684.93,612746158.54,2021-06-30T23:59:59.999Z
0.24109893,0.24252816,0.218911,0.22213699,42280801.25,565340030.11,2021-07-01T23:59:59.999Z
0.22154392,0.23076957,0.21460201,0.22711107,32717100.74,577999094.2,2021-07-02T23:59:59.999Z
0.22703026,0.23976655,0.22493846,0.23445245,23009135.48,596682952.63,2021-07-03T23:59:59.999Z
0.23445858,0.2522609,0.22694047,0.24274346,31736093.36,617783618.24,2021-07-04T23:59:59.999Z
0.24248992,0.24466409,0.22530646,0.230106,31578312.12,585621223.26,2021-07-05T23:59:59.999Z
0.22977732,0.25442886,0.22977732,0.2497188,37977250.17,635535917.68,2021-07-06T23:59:59.999Z
0.24952478,0.2775384,0.24584865,0.25804023,53507214.65,656713992.69,2021-07-07T23:59:59.999Z
0.25840162,0.25992766,0.23245912,0.23878761,40197588.06,607715956.33,2021-07-08T23:59:59.999Z
0.23834956,0.24050588,0.22458705,0.2338186,27979396.93,595069803.33,2021-07-09T23:59:59.999Z
0.23415812,0.2413652,0.22211515,0.22564677,20406869.7,574272452.93,2021-07-10T23:59:59.999Z
0.22592523,0.23682332,0.22065961,0.23119381,21005005.56,588389691.47,2021-07-11T23:59:59.999Z
0.23164844,0.23881895,0.21898533,0.22444867,22728619.93,571223268.92,2021-07-12T23:59:59.999Z
0.22407398,0.2348491,0.21638345,0.22267495,22687952.78,566709142.43,2021-07-13T23:59:59.999Z
0.22265696,0.22330047,0.20641672,0.21941393,22084296.83,558409822.89,2021-07-14T23:59:59.999Z
0.21954781,0.22318204,0.20297225,0.21035063,21195088.91,535343677.45,2021-07-15T23:59:59.999Z
0.21157742,0.21583361,0.1935527,0.19391115,21205908.89,493505091.21,2021-07-16T23:59:59.999Z
0.19343954,0.19802193,0.18843724,0.19642735,17782873.87,499908846.38,2021-07-17T23:59:59.999Z
0.1964279,0.20279829,0.18773434,0.1905133,16228836.77,484857550.09,2021-07-18T23:59:59.999Z
0.19022156,0.19144937,0.16826775,0.17002188,23776986.26,432706754.54,2021-07-19T23:59:59.999Z
0.17049571,0.17338906,0.15328971,0.16012907,29008763.76,407529496.84,2021-07-20T23:59:59.999Z
0.16003935,0.18467556,0.15620569,0.17696105,30397973.96,450366969.87,2021-07-21T23:59:59.999Z
0.17712994,0.18962444,0.17199538,0.18457307,27350196.2,469739620.87,2021-07-22T23:59:59.999Z
0.18587618,0.19304261,0.17922024,0.1916189,24964177.84,487671307.8,2021-07-23T23:59:59.999Z
0.19121548,0.20168539,0.18957987,0.1949394,26129481.02,496122003.62,2021-07-24T23:59:59.999Z
