Collection Name,Floor Purchase Price,24h%,7d%,Total Float,Floor Cap,Volume,24h Volume%,Sales,24h Owners%,%Float,24h supply%,image_url
strongblock-nfts,1.49,2.76,39.25,5160,7688.40,18,,7,-0.32,0.33,-29.17,https://lh3.googleusercontent.com/Wfzlvq_En_9Bqlvb-6_E88iND_rYVmnUb4KO0vYX_Mf1kqWYDRs7Mj7lICLZSvLsDCJ-SWBQTLMc46Gq6D5BjF-db6uzMa25NitQdA=s120
supducks,1.335,-2.55,-2.55,10070,13443.45,14,-0.36363636363636363636,10,0.00,4.30,17.98,https://lh3.googleusercontent.com/WNd3NNCiOAkD3rUNCau9qXDPQsnH3ZA8PcDMhlsfLnK6J1vSNpJnPFCjA-_l03LbCxwAYC1Mj8IcRQch7YMTDLnn_c-jAQ03RWRdEw=s120
superchief-gallery-nifty,0.2,0.00,100.00,311,62.20,0,,0,0.00,40.51,0.00,https://lh3.googleusercontent.com/daZS4rR8yiNSA3Mu30WgXOXor6iuaMkZ6jDQgUn2qiKkBqscjWIm-Rjp-XF_dsNIdBTU60GVG3l79QWIGUw8A72xiDFbB6JWUCl_q2U=s120
superfarm,0.056,-6.51,-12.23,6068,339.81,44,0.62962962962962962963,19,-0.02,4.12,-3.85,https://lh3.googleusercontent.com/stQDZp36ffNXpmDXeEn-1QV_C34ziVVsHNQrR0-yo9l20NFe-Dl0voL6j7hACyDoFgpVG5vdurTjR3DCbiZA7V2ZDy7TRpalGWsrdA=s120
superlativeapes,0.465,-6.63,-15.45,4450,2069.25,8,0.33333333333333333333,13,0.00,7.53,-1.76,https://lh3.googleusercontent.com/E-kvjLBINW5e4JALbBEqPj0U1vlv3cSxm_6-YtVAZWpBOWyg_PmNeq29G2zQh1EMTI-THyQogEdqLsAU2u79ggmIs0mnTqNZa7V-MQ=s120
superlativesecretsociety,0.109,-14.84,-26.35,11121,1212.19,2,-0.33333333333333333333,16,0.05,5.75,6.50,https://lh3.googleusercontent.com/KXiwhGlX-mGtcqDt1OYoWoZWa7kPvaKNx3g_ZJGa34SGz2H1FmH7NWqJTGWVftAECvz2H89QiNpmlQ6gzqN_vMjgkp6FzU6pRNfg8g=s120
supernormalbyzipcy,0.49,-24.62,-24.62,8899,4360.51,23,0.21052631578947368421,33,-0.11,10.05,7.45,https://lh3.googleusercontent.com/cZ0lurTxSFfA6lZ_5670kU-GB_okeuTv1QSxCWWF_A0goQOGnRxZvVIOnHl3Rkfeqq-Gdmn0CZbcR7_N_UYM00gJD3w7nCwEU0Ns8yY=s120
superplastic-supergucci,6.75,-3.57,31.32,308,2079.00,27,0.28571428571428571429,4,0.00,14.94,2.22,https://lh3.googleusercontent.com/H2q_NpyBs7vCtL-7FWgTH1FCiYnSqC7WwybQDg95bukk3eLBFkr6udy1CBNqwrgwbBYcqshdbuxL0Slz2_IlXNkHMJJCOHEZnj0ONg=s120
superworld,0.053,0.00,-62.14,15300,810.90,0,,2,0.06,0.60,0.00,https://lh3.googleusercontent.com/Sd64xQaChK2OxnWhZ7KM2I0NbnUcBZ7LCNbyaNMEC4GOzxDgiLPP8B3bp6cSSBqPnvS0ahL8EFOjao4YPKphUHvX2vbl0t_TZCyL=s120
superyeti,0.104,-13.33,-16.80,10000,1040.00,2,-0.50000000000000000000,16,0.05,3.12,15.13,https://lh3.googleusercontent.com/SCLQ9GXToC6SHT2SIayi1E1bzngDbBDzjpn_ikU3dV52xxTVSQqo3AjtPtAWMUfulMdFH4gAbv1vQNpmtYz5KAIsBE_7EfnpcahmFw=s120
swampverseofficial,0.38,-2.31,-14.41,9623,3656.74,14,0.16666666666666666667,38,-0.15,5.47,0.77,https://lh3.googleusercontent.com/QQpvfbD1FjrMsEgzKdq0WjY0PvAfNvmaPtgK9tFc4pdYqlUzQEzUqMVRMN6j-QY2ULU3V5qWD1bwpHqY-Q4zz02Ow_pz_6Qc4ne1mLA=s120
syltare-official,1.92172505,-20.54,-45.97,9989,19196.11,2,-0.60000000000000000000,1,-0.24,0.76,-7.32,https://lh3.googleusercontent.com/riYV0mtDcxosNw5Z6d_AdBAd-tZJgjZNmSAJkVaW538rjtp0LVZFqCmre-73oVU-L_a4eR0ReOAXJX848IeqTr2dPJ7aQ1gM8iXM=s120
syn-city-passes,3.5,3.24,-5.41,408,1428.00,3,-0.57142857142857142857,1,-0.28,7.84,-3.03,https://lh3.googleusercontent.com/YhNJnxJqTl_Omxt8LOWqT8i6YURFuRPmjAtKUJ2iQuSCcMyjBPmhtGvXwJgmEDBjzxmXEuqgY-fcqZMUlLqRrC5J39hSC8zgHA5-Rk0=s120
tastybonesxyz,0.773,-15.98,-39.61,5049,3902.88,25,-0.47916666666666666667,28,0.00,15.35,-8.61,https://lh3.googleusercontent.com/pFx2k4GbEd30FbIPOGagqG646QGUk-0Ns8n6kSgozxY4aJSI2AYm1a_Acvu0jngeIx7hSeZeZTHLKUiUEt9qXfE-DWRmJyZJQ_AnKA=s120
terraforms,0.6,1.69,-20.42,9906,5943.60,9,3.5000000000000000,12,-0.23,5.49,4.21,https://lh3.googleusercontent.com/5w8DDjrDhTKLfe-r6erP3yF1m9nfFi-d4b_WbArv17vqatPg0ZwTVrnOGiry3YhQCS00gfxzOEDSbW2Zr4soCTZ0A-u0TZ3Xjln4qA=s120
thankyoux,0.2,0.00,34.23,749,149.80,0,,0,0.00,0.93,0.00,https://lh3.googleusercontent.com/2M67rG7rI1yc-FzFI8PgCr8exVE5gJpvjsHqRp_31KOeIKyYVYIRZADpjpCJmopyjJ1mQRfCx1vo56AXDyO21FHHiyxM1C3TkqHfng=s120
thealienboy,0.138,-4.83,-1.43,9994,1379.17,1,-0.50000000000000000000,7,-0.08,3.07,6.60,https://lh3.googleusercontent.com/mnNWlPXlDTp8N1JP2kiCrTy-w0lGU0S1AX5sMm0ZhWjSTpIh4RTwXERNjz83aKI1uKjyqf8yZJlsId6TeUgvJRhwaWScJPdWZSlISJc=s120
the-aliensecretsociety,0.0548,-0.36,11.84,3905,213.99,1,0.00000000000000000000,13,-0.02,8.63,5.64,https://lh3.googleusercontent.com/_sXP-oujvqaYQcbEU0tuR45C-MI90ZXxQyj63yicIw20SsMSm-VAHDXsOXb1aJMmPQ_rN7MnNV0OQTI1ZRmr7ZHrXRPq9-KlKtugOQ=s120
theapedads,0.075,-6.25,59.57,4007,300.53,1,0.00000000000000000000,8,-0.04,7.49,11.52,https://lh3.googleusercontent.com/UAg2fsg5XIOT5Tb-qoLmcJRRl8h3Fv-C32IBGkf2c8H6KnE8RZ58aQkimJ2RA2r2b2lqT2HTKZOX5Y1tG5dFb7PrtZfmVL7R5_Ny=s120
thebeargame,0.01,-9.09,100.00,10526,105.26,0,,1,-0.11,0.75,2.60,https://lh3.googleusercontent.com/xduhR7YJ86hpJA7GHhtPSMgf2eUO9XkvYAcG00cDP_6c_sGBu-tZusIULTBaEL8mH-l-BHtJw1G0nD_k0AmlkrTgxE-kkbtthJEOhwM=s120
thebeeings,0.037,-5.13,-26.00,10084,373.11,1,-0.50000000000000000000,20,0.00,7.60,3.37,https://lh3.googleusercontent.com/IhmXfkvD4svwTzGzaFrd1jW-KUJ2PrUysLzQ6f7bQk4BrP_cdVog5TcycQfyoFkeBzSBvmNWzIo9ZMStFo8rneBgNTgemq6dQPMv4w=s120
the-crypto-chicks,0.458,2.00,6.51,10006,4582.75,32,0.77777777777777777778,56,-0.16,6.72,-1.61,https://lh3.googleusercontent.com/4Cvoke4noIRasGWubMZYdaA8FwwEtxfQyNDzlskiLi76j1Rr9ouR5ZWSqR5O6qsV8F4bFWInwa_3MZcJNB0xn7LR36CtjCOYp1-cEQ=s120
thecryptodads,0.25,0.00,-16.67,10000,2500.00,2,-0.60000000000000000000,8,-0.05,4.22,6.57,https://lh3.googleusercontent.com/9WIKCI5Lg6KoKskqXKU8p8PEW22tfjxJCFNJaSboZmQdH5g45-Ow-UH5WP9LYnvCyxSoIWWdk8E4I1GFX6Rn3Y8Z4_2xFMzfM6M51A=s120
thecryptomoms,0.088,11.39,-26.67,8785,773.08,2,1.00000000000000000000,18,-0.07,2.86,2.45,https://lh3.googleusercontent.com/jd5QGN3KgMp_0X2Ro72x7u0LbP9X_McRTx7V3ibidCMKYXu8E3c1E3lPMd49I15Vx83PWMdU1wicsCe9HYPaqbG4JPJ5a49FUZpuwSA=s120
thecurrency,4.1,-0.97,2.83,1973,8089.30,12,2.0000000000000000,3,0.12,6.79,2.29,https://lh3.googleusercontent.com/Q3G1qQKz97idjTwIJB9Enz3D4LDvL_DbwnHCP9YgVjTL4TLh7tAWUwGLPExniqGlfgLXRX-bOHRgGOb7oNOAHoeQWz2-CPLwDuaHRw=s120
the-degenerative-art,0.145,-39.58,45.00,200,29.00,0,,0,0.00,9.50,46.15,https://lh3.googleusercontent.com/w3RXt_H5F9qYO2-jWP_xN8v84WbdKF2yslDu67VZIR_w3Fq7HyLkd9InTSS7_Xelbsd3DjxNOZk_7ly9ZJ07_4iDV83vIjjJZa_TCw=s120
the-doge-pound,1.194,-2.53,6.61,10006,11947.16,5,-0.76190476190476190476,4,0.04,2.90,0.35,https://lh3.googleusercontent.com/uNkBbVvg7wyRjspsooFtYYbRHFHFISntxwijLRskjGhplP8A3Iz_4ApLU_yLp9BW-Ai0yUWC50A138IGUkII55QWRT7g12qmSRTlbA=s120
theenigma,0.24,-3.61,-2.04,4227,1014.48,3,0.50000000000000000000,7,-0.57,2.22,5.62,https://lh3.googleusercontent.com/zlyn6yPS8bynck84GuZfaDPLwU3H5kDa34nFIx7o2FsIZd1YxS1_8i-gH3EamvC2hE-mRRjrZ78NXvXKH2pRSRumzWTMPuw8HbTl7g=s120
the-flower-girls,0.575,2.68,4.55,9794,5631.55,26,-0.23529411764705882353,38,-0.17,4.67,5.79,https://lh3.googleusercontent.com/WRbEGpYOKWEEt7BoyCvq_XOfG4393JCzIyzdJwlgjh5sFOP3hP34BQ2Y-TW88qVntN4CSX-sEsBo3ryPDDwQTceQBwNyxLTBlrCG1w=s120
the-fungible-by-pak,5.1,6.25,-13.12,6303,32145.30,4,,1,0.00,0.40,-7.41,https://lh3.googleusercontent.com/ijC_URNi0k014Oqzfp2-1K73DUCfTcOTcm84ny_5pXeSUKMw3iUV-WSZU_5UZlVKiuA5BnFZGvvysoqvxQerQQMmizl5aDN3BGjtzw=s120
the-generative-electronic-museum-of-metaverse-art,0.109,0.00,-0.91,5000,545.00,2,0.00000000000000000000,13,0.08,5.90,4.24,https://lh3.googleusercontent.com/FeqZQ2fAjaNqCrxpz2x9ZlNR9PXAP6Ok-lwnaX6ti-BomzyEKmnslCZorU1-aKWM_zq6Mop7RJHT_YqVEKBXh9PIOEciNlxnQYjl=s120
the-heroes-nft-collection,0.15,-11.76,-37.50,3333,499.95,1,0.00000000000000000000,4,-0.11,5.94,13.79,https://lh3.googleusercontent.com/T0vLxu37Xmhv1tfdskwTR2FnXDd-Jn-lHzeCLHX15gUmfb3PzCEKyuR_lZ-8h_Y6-JWZXECgrcK60Ty7tHIA-xqdBgfiAiZZxa2Hjw=s120
thehumanoids,0.22,-9.47,-16.98,10010,2202.20,3,-0.25000000000000000000,12,-0.28,5.97,13.47,https://lh3.googleusercontent.com/elwah9Kx5Dlurgx8rFhH10p-Xgzb0xu-R3893NZLEjLbUWO5i-aRXhbAoRndnL9PvOz9KFQmve3RdCM6H428FVpdD-oLvufOw31OMg=s120
theindifferentduck,0.044,-7.37,-26.67,10022,440.97,1,0.00000000000000000000,11,-0.04,4.65,3.10,https://lh3.googleusercontent.com/lt3QDcR_UVUta_GJQcq3zeZ_SzvDc2Br-XDN1SFYPKMASfph2lx7X3hMc_0-L2rXosiJFmGUS6dTCR6bZrWyuVEPdgdnIKFZxbD-WA=s120
the-jims,0.135,-15.63,-32.50,2052,277.02,1,,5,0.00,6.73,-8.00,https://lh3.googleusercontent.com/5BRd4ZVOYOgAfC3ah4YDMcZAMsbA19tKJFJa1sIvLUMa3pMcqG8QLDpwmfAjXG6USXtMcSeXmo_ro0eVXzC0R7lfRn_6IFyxYf4LKVs=s120
thekillaz,0.034,-10.53,13.33,9971,339.01,0,-1.00000000000000000000,5,0.02,3.64,4.01,https://lh3.googleusercontent.com/Y7kPiyRI39EkZz8Bhp1_-QAVyjcih5jz7x-2VBwOHnHnmoEk5DeVju_o9001FbF2sBkMwiwVUfZTLwkBosPiguNl9FZlF_XDYmTe=s120
thelittlesnft,0.567,5.98,-1.90,10012,5676.80,61,0.64864864864864864865,90,-0.18,5.55,1.09,https://lh3.googleusercontent.com/Ie_qAA75_piqy1daeu3dRKUEETbQMz0ormtUaHt8LY15I5AeGKJ45gojR9NW7SY-h_vbgA-O-hwKrU0xf6Q_qqpwQ4ep7Xld8hao=s120
the-meta-key,0.21,-79.00,-24.19,5,1.05,11,-0.38888888888888888889,20,0.05,100.00,25.00,https://lh3.googleusercontent.com/qGyzQm5D9xqGg10eX6oDTjQQAXLtZN4m0X4mc2RSqIkKzV2BYTT873OqdSMpqeeBLqhGemxa0WmPXgBgN7OtDVbfypLQM68h_-L8bSw=s120
the-meta-kongz,6.125525,-7.67,-33.56,6805,41684.20,126,0.50000000000000000000,33,-2.55,3.06,-3.26,https://lh3.googleusercontent.com/AX_uuKN-OFhtHXtzw5PJ3K-bGW5tg2svacBEv8xO_ii3UCEo6UTjqec4MiXFGP3gsxPD-p-W0d315pEvIOxG3pKNWfT3G8KvAgIl=s120
the-pixels-inc,0.058,-3.33,-26.58,4578,265.52,0,,5,0.10,3.74,5.56,https://lh3.googleusercontent.com/u2cB8hTn6PU5qAAY7wsLcl-X4CygnHk5VFEMtkmbCE4mro9CVuuZpunjo-RHRgm8_m8mk5NSb5IxiYev2iM3xOIuMBD6TBinxGuChg=s120
theprojecturs,0.0348,0.00,-0.29,9983,347.41,0,,6,0.00,4.18,7.20,https://lh3.googleusercontent.com/Ddt7IduokA4JAx1J6albWjg4MSA0a5VADpQho8B-hlaRFX_EgvaztzU7IVcbMCnSWmWzm1YfEwxViUKeI9kmrGM6_a9AXuSZ1nUwAw=s120
theredvillagebloodportal,0.105,-4.46,-12.50,1,0.11,1,,10,0.00,100.00,0.00,https://lh3.googleusercontent.com/TU1DDkliHAwy7v_5W0PRB7qbluGn6yaUr9dcHjbBlIjCV3bVGeYq-_yNWEsL9JrLGHJY30XYOIVfH9YCMSS2jIEBTt9jjnCrhzhTRg4=s120
the-sevens-official,0.149,-8.59,-0.67,7001,1043.15,0,,1,0.00,3.33,2.19,https://lh3.googleusercontent.com/quIaOmTjez1vCHurDqz7v0EnfyVgyLoa9wXxS22-UPjzMTm5HQBo3ZTlJs9R9tZYDe5pnDXof033UBc4UGQSSB_DCRv3JTKO9ydW6g=s120
theshiboshis,0.96,6.67,-2.54,10026,9624.96,21,0.40000000000000000000,19,0.06,7.03,1.15,https://lh3.googleusercontent.com/9G_SbzGpWnId_ouP-rsTfv1UIeSaaayelyZVyo7eVETYp2uDXDXeH82Yvw4AchRHuKSrixHhGQ7ri5UUepQLaK9BpwhMH1yjImnXHA=s120
thesingularity,0.168,-11.58,52.73,1001,168.17,0,-1.00000000000000000000,0,0.00,5.99,5.26,https://lh3.googleusercontent.com/l6wZipAP-Ng1uXPz7BX0qY20PGg7YVlBIvBoepByOt7IejcoEibR69nmESvTX1UdWCkBhGSezKmw3Cy_VE4Jol-FccJrs17janLlsKk=s120
thespacebullstsb,0.019,-17.39,-29.63,8888,168.87,1,,23,-0.04,4.64,5.37,https://lh3.googleusercontent.com/OKfl6FyYt6NlczC5WmBfeGUSJa-wzw0BmiT2kEAQzCgoe7sP3ixzX5VoZk6CaIiDth11vS9UuOVRRsckyCOU9LBhKdSCM6iYO4HwUQ=s120
the-wanderers,0.325,-14.25,-16.67,8890,2889.25,2,-0.60000000000000000000,6,0.00,4.49,5.28,https://lh3.googleusercontent.com/eb4sx9jFK9EXFjdU5JzwesKvK8wNxHC1hRn5OZ-a08X-U6pglqGHvzlqPDlzTepp7DiBURY-gIfVkNNHjBukKpWO3LNf8lFe62fiLvg=s120
the-wild-bunch-nft,0.13,-7.14,-18.24,4000,520.00,1,-0.50000000000000000000,3,0.00,4.95,12.50,https://lh3.googleusercontent.com/ckXvIgpZT3acWf7oaFiPY5sbr35vlBSwZnvUlP1hR38_c9mctuJH5xlYnnifjwNLOy5HNYfcpkE2HB2nsKgsCAGjeVBQHWCSzrLZ=s120
thewinkybots,0.05,0.00,2.04,9631,481.55,0,,1,0.19,1.98,6.11,https://lh3.googleusercontent.com/REOlkSWV9V1RaiR1bY8oaB_23Ji17rlXSj5fZCwa_KeFCDVQiZwj28MPOEL2km9KSSRVTMtjnwxmnUQSN4GGH1HXDhO0dhf4IAcIQk4=s120
thingdoms,0.34,-2.86,-9.96,10000,3400.00,10,0.42857142857142857143,26,0.04,5.74,0.53,https://lh3.googleusercontent.com/pj2DA_BEkdRyLSReBoSPokAAapXPSBF8bWy1MyeJCaSbcj5u-_L0ZRnWdmSEalt6vKWAcTnK1w9LXsHAtvXiDPsgf5PX3UODUgeR=s120
thorguards,0.058,-3.33,16.00,10016,580.93,0,-1.00000000000000000000,3,0.00,2.47,4.22,https://lh3.googleusercontent.com/IEJU8udH96KbKM-kdjFqDy3jHV4Hsx7T2sd_PgW3mrVR4LHTQlH7fx8MoSWRV5fNhOHJ-EQFG6BxzEHzm2-EjUjohoOUUrPaFqTAzSM=s120
timelessnfts,0.6,0.00,-22.08,3473,2083.80,12,11.0000000000000000,13,0.03,7.40,-4.46,https://lh3.googleusercontent.com/ufwQp_mUf5PvhgpMMlPueNZcSRBzWqdRTEOq5wSy_I7WEe19bY-i9SY3TRmZO3Nn1Mnl_VxBumFuG42VIsRP7H3o-51Ptz8JNo-e-w=s120
timepiece-community,0.038,0.00,-5.00,4837,183.81,0,,1,-0.04,2.54,10.81,https://lh3.googleusercontent.com/Dgjo2lwkH73btc3f-THAIuSdv-MdmszkHeMJHRrFdX1-xK1XBp9EnqQQ4hjRh_A-CVX_zjFshgUEswPyZ3w08YZar908sDEP84q7=s120
timepiece-minting-passes,0.0069,0.00,0.00,12405,85.59,0,,0,0.00,0.72,0.00,https://lh3.googleusercontent.com/Dgjo2lwkH73btc3f-THAIuSdv-MdmszkHeMJHRrFdX1-xK1XBp9EnqQQ4hjRh_A-CVX_zjFshgUEswPyZ3w08YZar908sDEP84q7=s120
timepieces-build-a-better-future-genesis-drop,0.26,-10.34,-26.86,4676,1215.76,1,0.00000000000000000000,4,0.07,5.56,0.39,https://lh3.googleusercontent.com/Dgjo2lwkH73btc3f-THAIuSdv-MdmszkHeMJHRrFdX1-xK1XBp9EnqQQ4hjRh_A-CVX_zjFshgUEswPyZ3w08YZar908sDEP84q7=s120
timepieces-woty,0.229,0.00,-4.58,1000,229.00,2,,5,-0.15,9.30,2.20,https://lh3.googleusercontent.com/Dgjo2lwkH73btc3f-THAIuSdv-MdmszkHeMJHRrFdX1-xK1XBp9EnqQQ4hjRh_A-CVX_zjFshgUEswPyZ3w08YZar908sDEP84q7=s120
tom-sachs-rockets,2.65,0.00,2.32,2061,5461.65,0,,0,0.00,6.50,8.94,https://lh3.googleusercontent.com/dajx50F-VzEd3YeUMmZhKWPy42X7vq0d4Emqe7BB2c5XDYToFgpbi_VlmpHMofZJ6RVi7VEJ-G_WAH3D0MN48fAmAV0Uq2S1iY_yAQs=s120
topdogbeachclub,0.11,0.00,-17.91,7999,879.89,0,,0,0.00,3.66,3.17,https://lh3.googleusercontent.com/WYutK9-pUmyN25tkQq6dLpS7Ka9tSDkI-73ZgWXECj8u3cw53lEJgAK7IOw65orubQXVHaqG1gK5lmmue0gApkvxmUUZKgH_cVtR=s120
tos-theotherside,0.288,-15.04,-12.73,8888,2559.74,19,-0.45714285714285714286,45,-3.18,6.11,0.56,https://lh3.googleusercontent.com/lNEDBQZjfSt5cklZbTNGyfPBD37sz7BbQua_5du3fV-1JHCsWNHHyt-JHzO3njkDclbQ9MunKZ_g2eZWrZyZP2iCwuyRjyess1_0wkw=s120
toucan-gang,0.0799,33.17,81.59,7714,616.35,3,,32,-0.55,2.48,7.91,https://lh3.googleusercontent.com/sgkoNFU96cjMvcnFmbl7hTesK9HDgMNAzzT-i2ozKqfZHZitU5TIGk-HpN5lIg5e0ejuauptc2bRKAlAwCb_XMK0l72fUDP912MxZw=s120
town-star,0.01,0.00,16.13,414,4.14,112,0.72307692307692307692,199,0.11,93.00,2.12,https://lh3.googleusercontent.com/wp7V1K4Ezhi8yHU6LFpff-GMsjend65nRiwNz5pGAjCwk7ybznEpfUvXiIxQoOWBmeN00AGjVTRhLUqY4fee1fus=s120
treasure-for-loot,0.24,0.00,-38.14,8999,2159.76,0,,1,0.00,0.62,0.00,https://lh3.googleusercontent.com/HVeYD0FDUiSpJgEoGwCH8u---YXV1n51jRq8j4UHQ87rFfJsXPSavipmwwwYnKBKzepV5b_Y8hiqiIglitv6TplaWajFIDSgiJaZiQk=s120
trillionaire-thugs,0.348,-12.34,-22.67,7782,2708.14,7,-0.50000000000000000000,14,-0.05,5.42,7.38,https://lh3.googleusercontent.com/OcVElapTGHOokoFOFsaGE_WZuPsXyDbefJEmJZsgpqpBdzw5bmVRlORBaWQZmUcwwxwQ4mtqYlpqoqTH0h7qBJ79-8edUuWnikeuPA=s120
tubby-cats,0.49,-7.37,-42.35,12004,5881.96,216,-0.22021660649819494585,387,-0.68,34.76,-10.70,https://lh3.googleusercontent.com/XHZY9623keDQqFSDHKqOdcjD99Y7N82K1egYRM2Mm1Z-Jxn5myrkKiC5NBktWKStVtTzDzwELy9dNpzTWJTIkLsdMIxUHI86jduQ=s120
turfnft,0.6,-10.18,0.17,5047,3028.20,14,-0.58823529411764705882,23,0.05,7.59,-18.16,https://lh3.googleusercontent.com/K6VXP_xeOCIYYclMWQQmRngH6eCZxTIw26MOZIhmpC1Y-vW9ED5mY3X9uLjoCQwzyx3GEwPNwuTLwp5iUUtyNPVnAD_07RTzcxYvgw=s120
twinflames,90.0,0.00,-10.00,100,9000.00,0,,0,0.00,7.00,16.67,https://lh3.googleusercontent.com/Ao34kRsYM-Dh65V-V5TabwdM0cBpNyQo6l02y9Ucb7dYLmQQTSLcbgICmwDL-mtY-brSxaWGlpAUxTKDSkyiPy8BK882mGO48MCqLw=s120
twistedtweaks,0.04,-14.89,14.29,2247,89.88,0,,1,0.11,2.23,4.17,https://lh3.googleusercontent.com/YV7VlY5WdVLofytlhAPdsTQQdNdW4gm7e_K1GOPLMZ3p0O4huiLTIn8eNNYMxthX_1RdsIgJ047FwuBntwy4wQYfyxvi6eAje548NQ=s120
uglykitties,0.4,14.29,60.00,319,127.60,1,0.00000000000000000000,2,0.00,10.66,6.25,
undead-pastel-club,0.169,1.81,38.52,10024,1694.06,11,0.57142857142857142857,54,-0.12,3.62,-3.46,https://lh3.googleusercontent.com/GIQL9PkEvxNLriIf2TKSC1fflLDL4uEODAqNiNB2Nk43dKqJnTyvQf8iH8j9bruVwxvfXaAUJuf-R6ucYEgrwNqDzVWSReWSFvma=s120
uninterestedunicornsv2,0.05,0.00,-15.25,4923,246.15,0,,3,0.00,4.73,8.88,https://lh3.googleusercontent.com/VnDDkpRUg1NQhcy0xjUIk5wUcKXjFnU435cwGewxxSg4q3RoN-haCT4QLJLXIJI0P4Jwr4d_jGFucsu1DV2GkZQHgk20PKgaHYslgQ=s120
untry,0.6999,0.00,-9.10,187,130.88,0,,0,0.00,2.67,0.00,https://lh3.googleusercontent.com/BivxYeUtDhPHZW3L_ZPgpi2avQ-e_8swKkHpEzswbfiXxFPxA_ywRPm0qGAKqf7k1tvKL4txpZg3cjf8e1o0A8jvQ-qsux1HRzyPjw=s120
ununicornsofficial,0.15,3.45,0.00,6899,1034.85,3,,7,-0.45,2.33,1.26,https://lh3.googleusercontent.com/3VaiLBMGu7F3iLewHQvhp6A0DuIVo_3MAmisNUBL7Fq75YPM3xARgi7RyORd7sijbHcOiwsFKnCWXXOF6NN_XRzUXb1E_zTG-nca=s120
urbit-id,0.045,-6.25,-29.69,14223,640.04,4,,1,0.00,0.37,6.00,https://storage.opensea.io/files/47d672de9bea6f4d61fccdcc113b0f13.svg
urn,0.05,-7.57,-6.58,2,0.10,0,,2,0.00,100.00,0.00,https://storage.opensea.io/files/fc16207bbf738df7e59fb2d8d010878f.svg
veefriends,13.0,0.09,-7.46,10265,133445.00,55,0.83333333333333333333,4,-0.02,2.89,4.58,https://lh3.googleusercontent.com/5y-UCAXiNOFXH551w5bWdZEYOCdHPwbqmcKb-xa3uVQEjQgxvih3HtZWSmzqDqd0uk7kIqFrZhw32Gt6xPBFg4t_n9BKhpou-dwnOg=s120
vikings-villagers,0.009,0.00,800.00,5244,47.20,0,,0,0.00,0.57,3.45,https://lh3.googleusercontent.com/fD4IIypXbKySV20XpWNhycsbM9YOSdqoXEC83gX5FAteuKoK94DT0W7LCwHuP-OPKv0IGIR8pk6c9NBJLUQEKCXL3WqE0R6b8kev=s120
visithra,0.11,0.00,10.00,132,14.52,0,,0,0.00,29.55,11.43,
vos,1.0,0.00,100.00,255,255.00,0,,0,0.00,0.78,0.00,https://lh3.googleusercontent.com/WIWAjNuOtV5qYcySl4mD0QWsj0lG4KCT2mNT_oVPEsw9EgCC7p2FThypIBOV-37bP-IK7we2Wjj8sMGAzzxFTUeJu56PIt7M2AXp=s120
voxel-ville-official,0.414,-1.43,-13.75,4250,1759.50,14,1.8000000000000000,20,0.43,7.53,-8.31,https://lh3.googleusercontent.com/W7gaosyJkDOSBcGBYAK597HWlEUG6Xa30zxLbTcUID-Z22lY-MlAKg2HovnURlyFJKbYbc4T4FIbsNqcIf4HmWbwiOf_SA95N6Bolg=s120
voxies,0.449,-6.46,-23.90,10007,4493.14,9,8.0000000000000000,11,-0.06,3.82,2.69,https://lh3.googleusercontent.com/2wMNoHCnxCHOZEqeCeBj9CT9atRLOVt7Gl6Oh0Rw_TIDxx7tNes9Os4xWT7V_9iDOLMdmhUPG6MUySmbggCTEaYsdIWUO8RnsBMt0Q=s120
wastedwild,0.075,0.00,15.38,595,44.63,0,,0,0.00,5.71,3.03,https://lh3.googleusercontent.com/R9xvfRSIg4xQdN6BUW_9t2i-NMtQtGqfx6cJfFEPtZ6kBmT6xTn74jAK4tHl4UeJdvYrAZ0-UNfqB7FzN4fiUvpEMTTS2X6aeXU5Rw=s120
wavelengthbykalebjohnston,1.35,10.66,-3.57,1113,1502.55,6,5.0000000000000000,4,0.28,9.25,1.98,https://storage.opensea.io/files/62a7a1adc52c036014ac2a78cfbfd576.gif
we-are-kloud,0.094,-8.74,-27.69,5014,471.32,1,,5,0.04,5.29,10.42,https://lh3.googleusercontent.com/ICJQZ_ahWfDPdtF-wz9gx79qTjU5A08L9fGkdB_HEyLT0EzYpE6zIdjZGPq4mwEDd4cT3PufBeMDohfppoX2RXdbfDxSxEYio7gh=s120
wicked-ape-bone-club,0.07,0.14,-22.22,10000,700.00,1,0.00000000000000000000,14,-0.04,7.60,8.57,https://lh3.googleusercontent.com/d_b41f6KVhHqVDG6xpL8uyCwiOzxUZOTkybYn6clI3V0stR9UtR_wcQYJRWflSvycAknSOYjylMJrYoQ94Mt2kApQzX_kY8cMNDljy8=s120
wilderworld,0.45,-10.00,-5.26,5073,2282.85,3,-0.40000000000000000000,4,0.04,7.45,6.18,https://lh3.googleusercontent.com/VBrDThBCUkrZYE1hIAQg6HYQOTPnB2YQJwTtVp6LQe0qM4zbnmHmgYKI1bouD6Sici8SX7WI0K5N3FaFx9Cq14iXniY740BaYG8tJw=s120
