Collection Name,Floor Purchase Price,24h%,7d%,Total Float,Floor Cap,Volume,24h Volume%,Sales,24h Owners%,%Float,24h supply%,image_url
nuclk-genesis,0.3,0.00,-70.00,40,12.00,0,,0,0.00,7.50,0.00,https://lh3.googleusercontent.com/REFeeTv0hB6jjxgeMGY85nuDk_y3t3bycIeJkXRH_59hCGo8_Hf7ORcFDFLkuS0NsIspENDMMrWEBFYuEPsGpD1Jk9_Zh5ddaABOMQ=s120
official-clementines-nightmare,0.65,-12.04,-5.66,5000,3250.00,55,0.25000000000000000000,79,-0.50,4.44,10.45,https://lh3.googleusercontent.com/rb3CzNFCXwT3kzh9pxKVnMMegerJAWTblo9A1aQi2ZZeB2Bm9K8-xhdRSrdHktvLMHCTxwAGvdVFsIo7pTwpE4erRNg50sX4_3EWTKo=s120
official-surreals,0.064,-9.86,-24.71,10005,640.32,1,,14,-0.02,4.81,0.84,https://lh3.googleusercontent.com/5TNn5wVTyXOPVbC_BaCdHGYahiptP84lpb3F_nTdeXL8hFx5rdxwlj-cOPjZ3pq_WLbLxHErSyu0uDV8ybgQFZJMLOgRPUdkNUX-Aw=s120
official-whales-game,0.0087,-13.00,8600.00,13136,114.28,0,,1,0.00,0.78,30.77,https://lh3.googleusercontent.com/FxyQ751ZRx649HTc-26UrRAgBkrRRMfjXKZgJ_ExTu3AdtZOiJYJOtsy68AH3PV0F8cH-f7Sco2UmROt2mqC21HS6I4FvH_OrGlTTH8=s120
official-women-tribe,0.141,-18.45,-61.48,10000,1410.00,13,-0.35000000000000000000,76,0.15,12.47,-18.39,https://lh3.googleusercontent.com/2LhfMy_lvayjRds1DtRGNbJUNSUFderN5QwuKs7AQ5YkyUpbxPrBHXg6b_YxBw3sExI9aD9s5F1KRB_ZrubmOcLamAMiXohzz67CQw=s120
og-crystals,0.049,22.50,63.33,10306,504.99,1,0.00000000000000000000,6,-0.03,3.04,3.99,https://lh3.googleusercontent.com/PaM_tFDNK4SBoo73VtX2mjqtb5pG1jbcioMW2CUntcFbY8aA1l1vhAKOn7jYlykkuk7JLCZFvPo7vbiN7xotzQUYab18i4tl1Wk3_A=s120
omnimorphs,0.025,-13.79,-32.43,9224,230.60,0,,2,0.00,4.91,4.62,https://lh3.googleusercontent.com/S36Gqs6mWRd2EpeG3QCY6HubD0O1k_sTslOJbtnx5Lg5EWiebyBhLGJIjebNqfTGU-ALVuUY6_CwGXbc_-ZxXne6T-3pYXqpjKpk=s120
onchainmonkey,2.14,-1.83,-18.94,9504,20338.56,35,-0.02777777777777777778,13,0.10,4.31,-8.07,https://lh3.googleusercontent.com/DiZDS55tz4x8hmupgiNQxHHq1kuts0n83RNwpytSpNJ90IKyNxRzDLMVPtCQOBd5IlEjE5nlvwXISh065KHXfOS7F5tS-Dvdh-dTMis=s120
oogaverse,0.5269,22.82,28.51,3035,1599.14,33,1.0625000000000000,32,-0.72,3.59,-1.80,https://lh3.googleusercontent.com/AoXwtxKcBI8H6_p4nMU9l5ni3srWh9vaQsQmZLB2LzRmu2ivIfF5UiaQWpvV0cOZ-qapx2X7W571WGy9lR0Xt4HShXAnIMo3c2K3QWg=s120
oxyaoriginproject,0.27,12.50,-18.18,7903,2133.81,4,0.33333333333333333333,13,-0.33,5.45,5.12,https://lh3.googleusercontent.com/KTG_3YbolJOqVsIBL0BEaUWJJ0wuiMWuuGltK3QhMs5jq251D2dsvzI1o8PE-rPzFitEtVHqpPTmxirpIjlnzV0xnurAebsVLN0SnQ=s120
paradisetrippies,0.0689,-0.14,-1.57,10025,690.72,0,-1.00000000000000000000,5,0.00,9.87,3.45,https://lh3.googleusercontent.com/RD-Uy42OkPEk3YmURbwy-PdotGEuUJLe2fi4fXlTF7JkQg_-4mKSDWJFUi5jmUNGW5G_zXoMyOt3DgVyxoGZ3dgOc4OGdHpa6mbz=s120
partybear,1.15,0.00,-10.78,9682,11134.30,24,-0.07692307692307692308,18,0.12,3.80,2.79,https://lh3.googleusercontent.com/Pq4am5kMfPJxybtOv9OUcAIkYh6nn-A99Z_HcGnDk_G86qKm4P1yGTXEq2RBXsNirSXVJj0LxYIRKkx0wUNr_K8fPrEoRzc1M66lQQ=s120
partydegenerates,0.24,-4.00,-13.98,10003,2400.72,6,0.50000000000000000000,23,-0.19,2.89,8.65,https://lh3.googleusercontent.com/so2WQ5_GY72dOEffETYPsjc5Z1gv35qHITyikSRdqhtxYWaXqH4mRuBmxz1m0fFe-qGCPoCLZrND3zlpTi2OWWJipln9P66vVIGr=s120
peaceful-groupies,0.2,0.25,-25.65,10004,2000.80,2,1.00000000000000000000,11,0.17,2.45,-1.21,https://lh3.googleusercontent.com/cG9j3L8r61_Y5VKNUE3pfHnWPWPNt1ld8Zmyyslx6VV_54-ffsRAuYCg838IhOuek9cL5bHahpgj10ugtKkomDqFOuBAhcIxemow9w=s120
pegz,15.0,-24.81,0.00,103,1545.00,0,,0,0.00,11.65,9.09,https://lh3.googleusercontent.com/KOoa54TOMeHJPH6jntse0DhFOSoWhCefX8k7E0iS4Nrg0snkJz48JMy6LCXSUCjI1s0dFpQoWNTEBHVY4xBhysu0I0-ezu14Z_AL-g=s120
peopleintheplacetheylove,6.65,-0.75,2.31,1000,6650.00,7,-0.50000000000000000000,1,0.00,5.40,8.00,https://lh3.googleusercontent.com/ovjOYKiz9oG7dCDGRpgJ9KK7AMk_2_tpkDuNkpxZTYZfYlVP0wS8fuOgz0os2nbYE_sZEteQ4l7ctrBXxeVqrM8os9rwQNJTtS5DILM=s120
